Sample,Iteration,Kernel,Accuracy,C,Gamma
S1,0,linear,0.9415204678362573,46.41588833612773,0.1
S1,0,rbf,0.631578947368421,0.001,0.46415888336127775
S1,0,poly,0.9532163742690059,1000.0,0.004641588833612777
S1,1,linear,0.9590643274853801,0.004641588833612777,10.0
S1,1,rbf,0.9298245614035088,0.1,2.154434690031882
S1,1,poly,0.6432748538011696,0.001,2.154434690031882
S1,2,linear,0.9415204678362573,46.41588833612773,2.154434690031882
S1,2,rbf,0.9883040935672515,10.0,10.0
S1,2,poly,0.6432748538011696,0.001,0.46415888336127775
S1,3,linear,0.9590643274853801,0.004641588833612777,46.41588833612773
S1,3,rbf,0.9590643274853801,46.41588833612773,0.1
S1,3,poly,0.9532163742690059,1000.0,0.1
S1,4,linear,0.9707602339181286,0.1,215.44346900318823
S1,4,rbf,0.9590643274853801,46.41588833612773,46.41588833612773
S1,4,poly,0.9590643274853801,215.44346900318823,215.44346900318823
S1,5,linear,0.935672514619883,10.0,0.1
S1,5,rbf,0.631578947368421,0.001,0.1
S1,5,poly,0.9590643274853801,215.44346900318823,0.001
S1,6,linear,0.9415204678362573,215.44346900318823,215.44346900318823
S1,6,rbf,0.9064327485380117,0.021544346900318832,0.1
S1,6,poly,0.9590643274853801,215.44346900318823,0.1
S1,7,linear,0.9415204678362573,1000.0,10.0
S1,7,rbf,0.9298245614035088,0.1,2.154434690031882
S1,7,poly,0.9707602339181286,10.0,0.021544346900318832
S1,8,linear,0.9649122807017544,0.021544346900318832,1000.0
S1,8,rbf,0.9064327485380117,0.021544346900318832,215.44346900318823
S1,8,poly,0.9649122807017544,46.41588833612773,0.46415888336127775
S1,9,linear,0.9415204678362573,46.41588833612773,0.1
S1,9,rbf,0.9883040935672515,10.0,1000.0
S1,9,poly,0.9590643274853801,215.44346900318823,1000.0
S1,10,linear,0.9707602339181286,0.1,1000.0
S1,10,rbf,0.9883040935672515,10.0,46.41588833612773
S1,10,poly,0.9707602339181286,10.0,1000.0
S1,11,linear,0.9415204678362573,1000.0,10.0
S1,11,rbf,0.631578947368421,0.001,0.1
S1,11,poly,0.9649122807017544,46.41588833612773,1000.0
S1,12,linear,0.9707602339181286,2.154434690031882,0.021544346900318832
S1,12,rbf,0.9590643274853801,46.41588833612773,0.021544346900318832
S1,12,poly,0.6432748538011696,0.001,10.0
S1,13,linear,0.9415204678362573,0.001,0.004641588833612777
S1,13,rbf,0.9298245614035088,0.1,46.41588833612773
S1,13,poly,0.9649122807017544,46.41588833612773,0.46415888336127775
S1,14,linear,0.935672514619883,10.0,0.021544346900318832
S1,14,rbf,0.9707602339181286,215.44346900318823,0.004641588833612777
S1,14,poly,0.6783625730994152,0.004641588833612777,1000.0
S1,15,linear,0.9824561403508771,0.46415888336127775,46.41588833612773
S1,15,rbf,0.631578947368421,0.004641588833612777,0.1
S1,15,poly,0.9649122807017544,46.41588833612773,2.154434690031882
S1,16,linear,0.9824561403508771,0.46415888336127775,0.004641588833612777
S1,16,rbf,0.631578947368421,0.001,1000.0
S1,16,poly,0.9649122807017544,46.41588833612773,215.44346900318823
S1,17,linear,0.9707602339181286,0.1,10.0
S1,17,rbf,0.9707602339181286,1000.0,1000.0
S1,17,poly,0.9181286549707602,2.154434690031882,215.44346900318823
S1,18,linear,0.9415204678362573,46.41588833612773,0.46415888336127775
S1,18,rbf,0.9649122807017544,0.46415888336127775,10.0
S1,18,poly,0.8771929824561403,0.46415888336127775,0.001
S1,19,linear,0.9649122807017544,0.021544346900318832,0.001
S1,19,rbf,0.9590643274853801,46.41588833612773,2.154434690031882
S1,19,poly,0.9532163742690059,1000.0,0.021544346900318832
S1,20,linear,0.9590643274853801,0.004641588833612777,0.021544346900318832
